"words","frequency","first","second","third"
"i thought i",24,"i","thought","i"
"i thought id",7,"i","thought","id"
"i thought maybe",2,"i","thought","maybe"
"i thought meant",2,"i","thought","meant"
"i thought might",3,"i","thought","might"
"i thought new",2,"i","thought","new"
"i thought said",3,"i","thought","said"
"i told beautiful",2,"i","told","beautiful"
"i told don’t",2,"i","told","don’t"
"i told i",14,"i","told","i"
"i told mom",2,"i","told","mom"
"i took photo",2,"i","took","photo"
"i took picture",5,"i","took","picture"
"i totally agree",2,"i","totally","agree"
"i tried get",3,"i","tried","get"
"i tried i",2,"i","tried","i"
"i tried make",2,"i","tried","make"
"i truly believe",4,"i","truly","believe"
"i truly grateful",2,"i","truly","grateful"
"i try hard",2,"i","try","hard"
"i try put",2,"i","try","put"
"i try think",2,"i","try","think"
"i trying get",5,"i","trying","get"
"i trying overcome",2,"i","trying","overcome"
"i tweet i",2,"i","tweet","i"
"i type i",2,"i","type","i"
"i understand i",2,"i","understand","i"
"i used eat",2,"i","used","eat"
"i used go",2,"i","used","go"
"i used know",4,"i","used","know"
"i used one",2,"i","used","one"
"i used use",2,"i","used","use"
"i usually find",2,"i","usually","find"
"i ve liked",2,"i","ve","liked"
"i wait hear",2,"i","wait","hear"
"i wait read",2,"i","wait","read"
"i wait see",5,"i","wait","see"
"i waiting day",2,"i","waiting","day"
"i walk whenever",2,"i","walk","whenever"
"i wanna get",2,"i","wanna","get"
"i wanna go",7,"i","wanna","go"
"i wanna play",2,"i","wanna","play"
"i wanna see",2,"i","wanna","see"
"i want a",3,"i","want","a"
"i want anything",2,"i","want","anything"
"i want ask",2,"i","want","ask"
"i want ball",2,"i","want","ball"
"i want boyfriend",2,"i","want","boyfriend"
"i want everything",3,"i","want","everything"
"i want get",6,"i","want","get"
"i want give",2,"i","want","give"
"i want go",19,"i","want","go"
"i want i",5,"i","want","i"
"i want know",5,"i","want","know"
"i want let",2,"i","want","let"
"i want like",3,"i","want","like"
"i want look",2,"i","want","look"
"i want make",4,"i","want","make"
"i want one",6,"i","want","one"
"i want paint",2,"i","want","paint"
"i want see",10,"i","want","see"
"i want show",2,"i","want","show"
"i want start",3,"i","want","start"
"i want stay",2,"i","want","stay"
"i want talk",2,"i","want","talk"
"i want thank",2,"i","want","thank"
"i want u",2,"i","want","u"
"i want whole",2,"i","want","whole"
"i want win",2,"i","want","win"
"i want work",3,"i","want","work"
"i wanted add",2,"i","wanted","add"
"i wanted know",2,"i","wanted","know"
"i wanted make",3,"i","wanted","make"
"i wanted see",2,"i","wanted","see"
"i wanted share",6,"i","wanted","share"
"i wanted try",4,"i","wanted","try"
"i wanted use",2,"i","wanted","use"
"i wasn’t expecting",2,"i","wasn’t","expecting"
"i went back",5,"i","went","back"
"i went dinner",2,"i","went","dinner"
"i went shopping",2,"i","went","shopping"
"i will admit",2,"i","will","admit"
"i will also",2,"i","will","also"
"i will always",3,"i","will","always"
"i will back",2,"i","will","back"
"i will check",4,"i","will","check"
"i will come",2,"i","will","come"
"i will continue",5,"i","will","continue"
"i will definitely",3,"i","will","definitely"
"i will follow",3,"i","will","follow"
"i will forever",2,"i","will","forever"
"i will get",4,"i","will","get"
"i will give",5,"i","will","give"
"i will go",3,"i","will","go"
"i will going",2,"i","will","going"
"i will hopefully",2,"i","will","hopefully"
"i will just",2,"i","will","just"
"i will keep",2,"i","will","keep"
"i will let",2,"i","will","let"
"i will make",2,"i","will","make"
"i will miss",2,"i","will","miss"
"i will needing",2,"i","will","needing"
"i will never",7,"i","will","never"
"i will post",4,"i","will","post"
"i will probably",2,"i","will","probably"
"i will put",2,"i","will","put"
"i will say",6,"i","will","say"
"i will share",3,"i","will","share"
"i will show",2,"i","will","show"
"i will stay",2,"i","will","stay"
"i will still",3,"i","will","still"
"i will stop",3,"i","will","stop"
"i will sure",2,"i","will","sure"
"i will take",6,"i","will","take"
"i will tell",5,"i","will","tell"
"i will try",6,"i","will","try"
"i will use",2,"i","will","use"
"i will work",3,"i","will","work"
"i will working",2,"i","will","working"
"i wish i",47,"i","wish","i"
"i wish people",2,"i","wish","people"
"i wish someone",2,"i","wish","someone"
"i woke thinking",2,"i","woke","thinking"
"i wonder many",2,"i","wonder","many"
"i wonder newt",2,"i","wonder","newt"
"i wondering i",2,"i","wondering","i"
"i work home",2,"i","work","home"
"i work today",2,"i","work","today"
"i worked hard",2,"i","worked","hard"
"i wrote i",3,"i","wrote","i"
"i years old",2,"i","years","old"
"i’d also like",2,"i’d","also","like"
"i’d like stand",2,"i’d","like","stand"
"i’m even sure",2,"i’m","even","sure"
"i’m glad i",4,"i’m","glad","i"
"i’m going back",2,"i’m","going","back"
"i’m just saying",2,"i’m","just","saying"
"i’m living high",2,"i’m","living","high"
"i’m looking forward",3,"i’m","looking","forward"
"i’m perfect i",2,"i’m","perfect","i"
"i’m pretty sure",3,"i’m","pretty","sure"
"i’m sorry i’m",2,"i’m","sorry","i’m"
"i’m sure i",2,"i’m","sure","i"
"i’m sure much",2,"i’m","sure","much"
"i’m sure people",2,"i’m","sure","people"
"i’m sure s",2,"i’m","sure","s"
"i’m sure will",4,"i’m","sure","will"
"i’ve always wanted",2,"i’ve","always","wanted"
"id like make",2,"id","like","make"
"id like see",3,"id","like","see"
"id love see",3,"id","love","see"
"id lying i",2,"id","lying","i"
"if checked blog",2,"if","checked","blog"
"if don’t see",2,"if","don’t","see"
"if goes well",2,"if","goes","well"
"if gop wins",2,"if","gop","wins"
"if got time",2,"if","got","time"
"if i can",4,"if","i","can"
"if i die",2,"if","i","die"
"if i ever",2,"if","i","ever"
"if i get",3,"if","i","get"
"if i had",2,"if","i","had"
"if i just",2,"if","i","just"
"if i run",2,"if","i","run"
"if i say",2,"if","i","say"
"if i still",2,"if","i","still"
"if like idea",2,"if","like","idea"
"if like join",2,"if","like","join"
"if mutual attraction",2,"if","mutual","attraction"
"if re going",2,"if","re","going"
"if re like",3,"if","re","like"
"if really want",3,"if","really","want"
"if u r",2,"if","u","r"
"if u think",2,"if","u","think"
"if ve never",2,"if","ve","never"
"if ve seen",2,"if","ve","seen"
"if want part",2,"if","want","part"
"if you want",2,"if","you","want"
"il saori komatsu",2,"il","saori","komatsu"
"ill get back",2,"ill","get","back"
"ill just keep",2,"ill","just","keep"
"ill keep eye",2,"ill","keep","eye"
"ill let know",5,"ill","let","know"
"ill never forget",2,"ill","never","forget"
"ill never understand",2,"ill","never","understand"
"ill see i",2,"ill","see","i"
"ill send asap",2,"ill","send","asap"
"ill tell i",2,"ill","tell","i"
"ill try get",2,"ill","try","get"
"im always happy",2,"im","always","happy"
"im bad kid",2,"im","bad","kid"
"im big fan",3,"im","big","fan"
"im even going",2,"im","even","going"
"im excited i",2,"im","excited","i"
"im giving away",2,"im","giving","away"
"im glad i",2,"im","glad","i"
"im going eat",3,"im","going","eat"
"im going get",5,"im","going","get"
"im going home",3,"im","going","home"
"im going make",2,"im","going","make"
"im going start",5,"im","going","start"
"im going try",4,"im","going","try"
"im going use",4,"im","going","use"
"im gonna cry",2,"im","gonna","cry"
"im gonna get",4,"im","gonna","get"
"im gonna go",5,"im","gonna","go"
"im gonna make",3,"im","gonna","make"
"im gonna miss",3,"im","gonna","miss"
"im gonna need",3,"im","gonna","need"
"im gonna try",2,"im","gonna","try"
"im good mood",2,"im","good","mood"
"im happy i",2,"im","happy","i"
"im happy report",2,"im","happy","report"
"im hard time",2,"im","hard","time"
"im hoping i",2,"im","hoping","i"
"im just going",5,"im","just","going"
"im just gonna",2,"im","just","gonna"
"im looking forward",6,"im","looking","forward"
"im open suggestions",2,"im","open","suggestions"
"im pretty good",2,"im","pretty","good"
"im pretty sure",5,"im","pretty","sure"
"im reading the",2,"im","reading","the"
"im really good",2,"im","really","good"
"im really happy",2,"im","really","happy"
"im really sure",4,"im","really","sure"
"im saying though",2,"im","saying","though"
"im scared now",2,"im","scared","now"
"im sorry i",3,"im","sorry","i"
"im starting get",2,"im","starting","get"
"im still little",2,"im","still","little"
"im still tired",2,"im","still","tired"
"im still working",2,"im","still","working"
"im sure can",3,"im","sure","can"
"im sure i",5,"im","sure","i"
"im sure ill",4,"im","sure","ill"
"im sure just",2,"im","sure","just"
"im sure will",7,"im","sure","will"
"im telling ya",2,"im","telling","ya"
"im tired i",2,"im","tired","i"
"im tryin get",2,"im","tryin","get"
"im trying find",2,"im","trying","find"
"im trying get",2,"im","trying","get"
"im trying make",3,"im","trying","make"
"im tryna get",2,"im","tryna","get"
"im watching tv",2,"im","watching","tv"
"im wide awake",2,"im","wide","awake"
"in bowl electric",2,"in","bowl","electric"
"in case i",2,"in","case","i"
"in case missed",2,"in","case","missed"
"in fact i",10,"in","fact","i"
"in fact one",3,"in","fact","one"
"in large bowl",3,"in","large","bowl"
"in love with",3,"in","love","with"
"in music meeting",3,"in","music","meeting"
"in my life",2,"in","my","life"
"in next post",2,"in","next","post"
"in the mix",2,"in","the","mix"
"in words i",2,"in","words","i"
"incorporated item c",2,"incorporated","item","c"
"indefinite hunger strike",2,"indefinite","hunger","strike"
"instead two years",2,"instead","two","years"
"international trade commission",2,"international","trade","commission"
"is anyone else",3,"is","anyone","else"
"is weird i",2,"is","weird","i"
"it can also",2,"it","can","also"
"it can mean",3,"it","can","mean"
"it difficult example",2,"it","difficult","example"
"it doesn’t matter",2,"it","doesn’t","matter"
"it exciting time",2,"it","exciting","time"
"it feels like",2,"it","feels","like"
"it felt like",2,"it","felt","like"
"it first time",3,"it","first","time"
"it great see",2,"it","great","see"
"it looked like",4,"it","looked","like"
"it mean much",2,"it","mean","much"
"it means lot",2,"it","means","lot"
"it money spend",2,"it","money","spend"
"it moves around",3,"it","moves","around"
"it much fun",2,"it","much","fun"
"it right children",2,"it","right","children"
"it seems like",6,"it","seems","like"
"it takes forever",2,"it","takes","forever"
"it took hour",2,"it","took","hour"
"it took months",2,"it","took","months"
"it was a",2,"it","was","a"
"it wasn’t long",2,"it","wasn’t","long"
"it will help",2,"it","will","help"
"it will take",2,"it","will","take"
"it would mean",2,"it","would","mean"
"it’s bit like",2,"it’s","bit","like"
"item c pp",3,"item","c","pp"
"its almost time",2,"its","almost","time"
"its cold outside",2,"its","cold","outside"
"its easy get",2,"its","easy","get"
"its fat tuesday",2,"its","fat","tuesday"
"its going beautiful",2,"its","going","beautiful"
"its going good",2,"its","going","good"
"its gonna be",2,"its","gonna","be"
"its good hear",2,"its","good","hear"
"its hard believe",2,"its","hard","believe"
"its just like",2,"its","just","like"
"its nice day",3,"its","nice","day"
"its nice see",2,"its","nice","see"
"its pretty awesome",2,"its","pretty","awesome"
"its still beautiful",2,"its","still","beautiful"
"its time get",2,"its","time","get"
"ive always wanted",2,"ive","always","wanted"
"ive busy bee",2,"ive","busy","bee"
"ive ever bought",2,"ive","ever","bought"
"ive ever seen",4,"ive","ever","seen"
"ive got i",2,"ive","got","i"
"ive heard great",2,"ive","heard","great"
"ive learned appreciate",2,"ive","learned","appreciate"
"ive never heard",2,"ive","never","heard"
"ive never seen",2,"ive","never","seen"
"ive seen many",3,"ive","seen","many"
"j am med",2,"j","am","med"
"jacksons doctor found",2,"jacksons","doctor","found"
"jet set radio",2,"jet","set","radio"
"johnsons review play",2,"johnsons","review","play"
"join us one",2,"join","us","one"
"just around corner",2,"just","around","corner"
"just because we",2,"just","because","we"
"just bought tickets",2,"just","bought","tickets"
"just buy already",2,"just","buy","already"
"just case i",3,"just","case","i"
"just couple weeks",2,"just","couple","weeks"
"just day two",2,"just","day","two"
"just don’t know",2,"just","don’t","know"
"just don’t want",2,"just","don’t","want"
"just explain characters",2,"just","explain","characters"
"just feel right",2,"just","feel","right"
"just finished great",2,"just","finished","great"
"just finished mi",2,"just","finished","mi"
"just finished reading",2,"just","finished","reading"
"just go away",2,"just","go","away"
"just going come",2,"just","going","come"
"just got back",5,"just","got","back"
"just got done",3,"just","got","done"
"just got home",4,"just","got","home"
"just got million",2,"just","got","million"
"just got new",2,"just","got","new"
"just got phone",3,"just","got","phone"
"just got stuck",2,"just","got","stuck"
"just hope i",3,"just","hope","i"
"just i didn’t",2,"just","i","didn’t"
"just i thought",2,"just","i","thought"
"just im going",2,"just","im","going"
"just let know",4,"just","let","know"
"just like cold",2,"just","like","cold"
"just like i",2,"just","like","i"
"just little bit",5,"just","little","bit"
"just made day",3,"just","made","day"
"just make sure",7,"just","make","sure"
"just make time",2,"just","make","time"
"just matter time",2,"just","matter","time"
"just means i",2,"just","means","i"
"just might make",2,"just","might","make"
"just much fun",2,"just","much","fun"
"just much i",2,"just","much","i"
"just need find",2,"just","need","find"
"just noticed i",2,"just","noticed","i"
"just one day",2,"just","one","day"
"just one thing",2,"just","one","thing"
"just pick one",2,"just","pick","one"
"just realized i",2,"just","realized","i"
"just realized im",2,"just","realized","im"
"just realized song",2,"just","realized","song"
"just saw commercial",2,"just","saw","commercial"
"just say i",2,"just","say","i"
"just seems like",2,"just","seems","like"
"just sent email",3,"just","sent","email"
"just shaved beard",2,"just","shaved","beard"
"just shoot now",2,"just","shoot","now"
"just somebody i",4,"just","somebody","i"
"just spent hour",2,"just","spent","hour"
"just started following",2,"just","started","following"
"just started watching",3,"just","started","watching"
"just thought id",2,"just","thought","id"
"just three weeks",2,"just","three","weeks"
"just three years",2,"just","three","years"
"just told i",2,"just","told","i"
"just try see",2,"just","try","see"
"just trying find",2,"just","trying","find"
"just trying help",2,"just","trying","help"
"just two weeks",2,"just","two","weeks"
"just wanna get",2,"just","wanna","get"
"just want go",3,"just","want","go"
"just want thank",2,"just","want","thank"
"just wanted say",5,"just","wanted","say"
"just watched first",2,"just","watched","first"
"just watching tv",3,"just","watching","tv"
"just way i",2,"just","way","i"
"just woke hour",2,"just","woke","hour"
"justin bieber justin",2,"justin","bieber","justin"
"justin got swag",2,"justin","got","swag"
"kaibab north kaibab",2,"kaibab","north","kaibab"
"kansas city star",2,"kansas","city","star"
"keep fingers crossed",2,"keep","fingers","crossed"
"keep getting painful",2,"keep","getting","painful"
"keep good work",7,"keep","good","work"
"keep great work",2,"keep","great","work"
"keep losing followers",2,"keep","losing","followers"
"keep thinking i",2,"keep","thinking","i"
"keisha coles mom",2,"keisha","coles","mom"
"kid silk haze",2,"kid","silk","haze"
"kids hide yo",2,"kids","hide","yo"
"kills every time",2,"kills","every","time"
"kind person i",2,"kind","person","i"
"kinda look like",2,"kinda","look","like"
"kiss first date",2,"kiss","first","date"
"knew i going",2,"knew","i","going"
"knit end row",2,"knit","end","row"
"kno heard asians",2,"kno","heard","asians"
"know i always",2,"know","i","always"
"know i can",8,"know","i","can"
"know i got",2,"know","i","got"
"know i just",3,"know","i","just"
"know i know",4,"know","i","know"
"know i love",6,"know","i","love"
"know i mean",2,"know","i","mean"
"know i say",2,"know","i","say"
"know i want",5,"know","i","want"
"know i’m ready",4,"know","i’m","ready"
"know im going",4,"know","im","going"
"know im talking",2,"know","im","talking"
"know look i",2,"know","look","i"
"know much i",2,"know","much","i"
"know now i",2,"know","now","i"
"know people i",2,"know","people","i"
"know re thinking",2,"know","re","thinking"
"know u know",2,"know","u","know"
"know u think",3,"know","u","think"
"know want talk",2,"know","want","talk"
"known close relationship",2,"known","close","relationship"
"knows going happen",2,"knows","going","happen"
"la la la",2,"la","la","la"
"lady think like",2,"lady","think","like"
"land rover cases",3,"land","rover","cases"
"lands side control",2,"lands","side","control"
"large prosperous family",2,"large","prosperous","family"
"large topping pizza",2,"large","topping","pizza"
"last couple hours",2,"last","couple","hours"
"last couple months",2,"last","couple","months"
"last i heard",2,"last","i","heard"
"last math test",2,"last","math","test"
"last night birthday",2,"last","night","birthday"
"last night everybody",2,"last","night","everybody"
"last night everyone",2,"last","night","everyone"
"last night i",15,"last","night","i"
"last night im",2,"last","night","im"
"last night playing",2,"last","night","playing"
"last night w",2,"last","night","w"
"last place i",2,"last","place","i"
"last song hoom",2,"last","song","hoom"
"last thing i",3,"last","thing","i"
"last three years",2,"last","three","years"
"last time i",9,"last","time","i"
"last time im",2,"last","time","im"
"last two days",2,"last","two","days"
"last week i",4,"last","week","i"
"last year i",11,"last","year","i"
"last year need",2,"last","year","need"
"later i can",2,"later","i","can"
"laughing out loud",2,"laughing","out","loud"
"lead tools programmer",2,"lead","tools","programmer"
"learn brave patient",2,"learn","brave","patient"
"learn how to",2,"learn","how","to"
"learned hard way",3,"learned","hard","way"
"least i can",2,"least","i","can"
"least one person",3,"least","one","person"
"legal sea foods",2,"legal","sea","foods"
"lens cleaning cloth",2,"lens","cleaning","cloth"
"less two weeks",3,"less","two","weeks"
"let cool slightly",2,"let","cool","slightly"
"let go i",2,"let","go","i"
"let go let",2,"let","go","let"
"let go trust",2,"let","go","trust"
"let know can",2,"let","know","can"
"let know get",2,"let","know","get"
"let know got",2,"let","know","got"
"let know i",7,"let","know","i"
"let know interested",2,"let","know","interested"
"let know think",4,"let","know","think"
"let know thought",2,"let","know","thought"
"let know u",2,"let","know","u"
"let light shine",2,"let","light","shine"
"let sit minutes",2,"let","sit","minutes"
"let stand minutes",2,"let","stand","minutes"
"let touch ya",2,"let","touch","ya"
"let us help",2,"let","us","help"
"let us know",17,"let","us","know"
"let’s get started",2,"let’s","get","started"
"let’s see can",2,"let’s","see","can"
"lets go get",2,"lets","go","get"
"lets make happen",2,"lets","make","happen"
"life i need",2,"life","i","need"
"life people say",2,"life","people","say"
"life right now",2,"life","right","now"
"life way i",2,"life","way","i"
"lights the press",2,"lights","the","press"
"like cold case",2,"like","cold","case"
"like everybody else",2,"like","everybody","else"
"like female character",2,"like","female","character"
"like good idea",2,"like","good","idea"
"like good time",2,"like","good","time"
"like harry potter",2,"like","harry","potter"
"like i can",2,"like","i","can"
"like i feel",3,"like","i","feel"
"like i never",2,"like","i","never"
"like i one",2,"like","i","one"
"like i said",6,"like","i","said"
"like i used",3,"like","i","used"
"like join us",2,"like","join","us"
"like lady think",2,"like","lady","think"
"like look like",2,"like","look","like"
"like medieval novel",2,"like","medieval","novel"
"like much fun",2,"like","much","fun"
"like profile pic",2,"like","profile","pic"
"like something i",2,"like","something","i"
"like soothing voice",2,"like","soothing","voice"
"like think i",2,"like","think","i"
"like us facebook",3,"like","us","facebook"
"line around block",2,"line","around","block"
"listen music i",2,"listen","music","i"
"little miss i",2,"little","miss","i"
"little things like",4,"little","things","like"
"live life way",2,"live","life","way"
"living high hog",2,"living","high","hog"
"lol i feel",2,"lol","i","feel"
"lol i hope",2,"lol","i","hope"
"lol i know",2,"lol","i","know"
"lol i love",3,"lol","i","love"
"lol i remember",2,"lol","i","remember"
"lol i think",3,"lol","i","think"
"lol yeah i",2,"lol","yeah","i"
"long enough ll",2,"long","enough","ll"
"long least one",2,"long","least","one"
"long long time",3,"long","long","time"
"long since i",2,"long","since","i"
"long story short",3,"long","story","short"
"long time ago",8,"long","time","ago"
"long time coming",2,"long","time","coming"
"long time get",2,"long","time","get"
"long time talk",3,"long","time","talk"
"long way go",3,"long","way","go"
"longer i thought",2,"longer","i","thought"
"look forward day",2,"look","forward","day"
"look forward meeting",2,"look","forward","meeting"
"look forward reading",4,"look","forward","reading"
"look forward seeing",4,"look","forward","seeing"
"look light skinned",2,"look","light","skinned"
"look like i",2,"look","like","i"
"look like one",2,"look","like","one"
"look really pretty",2,"look","really","pretty"
"looked good i",2,"looked","good","i"
"looked like i",2,"looked","like","i"
"looking forward fall",2,"looking","forward","fall"
"looking forward following",2,"looking","forward","following"
"looking forward getting",3,"looking","forward","getting"
"looking forward giving",2,"looking","forward","giving"
"looking forward hearing",3,"looking","forward","hearing"
"looking forward may",2,"looking","forward","may"
"looking forward meeting",2,"looking","forward","meeting"
"looking forward reading",2,"looking","forward","reading"
"looking forward see",2,"looking","forward","see"
"looking forward seeing",8,"looking","forward","seeing"
"looking new producers",2,"looking","new","producers"
"looks like good",2,"looks","like","good"
"looks like ill",3,"looks","like","ill"
"looks like may",2,"looks","like","may"
"looks like much",2,"looks","like","much"
"looks like people",2,"looks","like","people"
"looks like someone",2,"looks","like","someone"
"looks pretty good",2,"looks","pretty","good"
"looks something like",2,"looks","something","like"
"lord jesus christ",3,"lord","jesus","christ"
"los angeles clippers",2,"los","angeles","clippers"
"los angeles times",3,"los","angeles","times"
"lose weight i",2,"lose","weight","i"
"loses virginity age",2,"loses","virginity","age"
"lot cleaning talking",2,"lot","cleaning","talking"
"lot like i",2,"lot","like","i"
"loud incredibly close",2,"loud","incredibly","close"
"louisville ky pm",2,"louisville","ky","pm"
"love andrea russett",6,"love","andrea","russett"
"love i love",2,"love","i","love"
"love life i",2,"love","life","i"
"love like love",2,"love","like","love"
"love love love",5,"love","love","love"
"love much i",3,"love","much","i"
"love one another",3,"love","one","another"
"love one direction",2,"love","one","direction"
"love see one",2,"love","see","one"
"love shoes i",2,"love","shoes","i"
"love will win",2,"love","will","win"
"lower interest rate",2,"lower","interest","rate"
"lucky enough get",2,"lucky","enough","get"
"luther king jr",3,"luther","king","jr"
"machine can work",4,"machine","can","work"
"made breakfast bed",2,"made","breakfast","bed"
"made feel better",2,"made","feel","better"
"made perfect weakness",2,"made","perfect","weakness"
"made way back",3,"made","way","back"
"madison square garden",2,"madison","square","garden"
"make better i",2,"make","better","i"
"make choice take",2,"make","choice","take"
"make cute little",2,"make","cute","little"
"make dream come",3,"make","dream","come"
"make dreams come",2,"make","dreams","come"
"make feel like",3,"make","feel","like"
"make mistakes learn",2,"make","mistakes","learn"
"make mistakes make",2,"make","mistakes","make"
"make performer seem",2,"make","performer","seem"
"make right decisions",2,"make","right","decisions"
"make sure check",3,"make","sure","check"
"make sure follow",3,"make","sure","follow"
"make sure get",3,"make","sure","get"
"make sure im",2,"make","sure","im"
"make sure make",2,"make","sure","make"
"make sure s",2,"make","sure","s"
"make worlds happiest",2,"make","worlds","happiest"
"makes feel like",3,"makes","feel","like"
"makes little sense",2,"makes","little","sense"
"makes look like",4,"makes","look","like"
"makes sense leave",2,"makes","sense","leave"
"makes want see",2,"makes","want","see"
"makes you beautiful",3,"makes","you","beautiful"
"man fish fed",2,"man","fish","fed"
"man i just",3,"man","i","just"
"man i love",2,"man","i","love"
"many basketfuls gathered",2,"many","basketfuls","gathered"
"many days i",2,"many","days","i"
"many female characters",2,"many","female","characters"
"many good ones",3,"many","good","ones"
"many good things",2,"many","good","things"
"many great ideas",2,"many","great","ideas"
"many great things",2,"many","great","things"
"many happy years",2,"many","happy","years"
"many people think",2,"many","people","think"
"many things i",2,"many","things","i"
"many times can",4,"many","times","can"
"many times i",4,"many","times","i"
"many times ive",3,"many","times","ive"
"many years ago",2,"many","years","ago"
"martin luther king",3,"martin","luther","king"
"matter hard try",3,"matter","hard","try"
"may come wait",2,"may","come","wait"
"may sound like",3,"may","sound","like"
"may th exact",2,"may","th","exact"
"maybe i can",3,"maybe","i","can"
"maybe i just",3,"maybe","i","just"
"maybe i will",3,"maybe","i","will"
"maybe ill just",2,"maybe","ill","just"
"maybe one day",2,"maybe","one","day"
"me i will",2,"me","i","will"
"me it would",2,"me","it","would"
"means go away",2,"means","go","away"
"means i will",2,"means","i","will"
"med assoc jama",2,"med","assoc","jama"
"meet reporting needs",2,"meet","reporting","needs"
"meeting committee chair",2,"meeting","committee","chair"
"meeting new people",2,"meeting","new","people"
"members one body",2,"members","one","body"
"met nice folks",2,"met","nice","folks"
"middle high school",2,"middle","high","school"
"might seem like",2,"might","seem","like"
"might well come",2,"might","well","come"
"mile bike ride",2,"mile","bike","ride"
"mind i thought",2,"mind","i","thought"
"minded will believe",2,"minded","will","believe"
"mindless behavior vs",2,"mindless","behavior","vs"
"minority always ones",2,"minority","always","ones"
"miss like crazy",2,"miss","like","crazy"
"mistakes make mistakes",2,"mistakes","make","mistakes"
"mitt romney’s speech",2,"mitt","romney’s","speech"
"mixture mix well",2,"mixture","mix","well"
"mm x mm",2,"mm","x","mm"
"mom mothers day",2,"mom","mothers","day"
"moment calming mind",2,"moment","calming","mind"
"month i will",2,"month","i","will"
"morning i checked",2,"morning","i","checked"
"morning i getting",3,"morning","i","getting"
"most time i",3,"most","time","i"
"mother back life",2,"mother","back","life"
"mothers day gift",3,"mothers","day","gift"
"mothers day mothers",2,"mothers","day","mothers"
"movies tv shows",2,"movies","tv","shows"
"moving right direction",2,"moving","right","direction"
"mr a i",2,"mr","a","i"
"ms ohio valley",3,"ms","ohio","valley"
"much fun i",2,"much","fun","i"
"much higher i",2,"much","higher","i"
"much i like",2,"much","i","like"
"much i love",9,"much","i","love"
"much i loved",2,"much","i","loved"
"much i want",4,"much","i","want"
"much i wanted",2,"much","i","wanted"
"much kind words",2,"much","kind","words"
"murder took place",2,"murder","took","place"
"must admit i",3,"must","admit","i"
"must country wide",2,"must","country","wide"
"must felt heart",2,"must","felt","heart"
"must make choice",2,"must","make","choice"
"mutual attraction forget",2,"mutual","attraction","forget"
"mutual permeability problem",2,"mutual","permeability","problem"
"my best friend",3,"my","best","friend"
"my favorite show",2,"my","favorite","show"
"my head hurts",2,"my","head","hurts"
"my husband i",2,"my","husband","i"
"my minds eye",2,"my","minds","eye"
"my mom just",2,"my","mom","just"
"my mom making",2,"my","mom","making"
"my mom said",3,"my","mom","said"
"my new followers",2,"my","new","followers"
"my team good",2,"my","team","good"
"my year old",4,"my","year","old"
"n crush affiliated",2,"n","crush","affiliated"
"nama acquired loans",2,"nama","acquired","loans"
"national childrens cancer",2,"national","childrens","cancer"
"near hyde park",2,"near","hyde","park"
"need come back",3,"need","come","back"
"need get back",3,"need","get","back"
"need get involved",2,"need","get","involved"
"need go back",3,"need","go","back"
"need go shopping",2,"need","go","shopping"
"need go sleep",2,"need","go","sleep"
"need help make",2,"need","help","make"
"need hours day",2,"need","hours","day"
"need right now",2,"need","right","now"
"need see soon",2,"need","see","soon"
"need spend time",2,"need","spend","time"
"need stop watching",2,"need","stop","watching"
"need take pictures",2,"need","take","pictures"
"needed get laid",2,"needed","get","laid"
"never dull moment",3,"never","dull","moment"
"never gets old",2,"never","gets","old"
"never knew love",2,"never","knew","love"
"never know can",2,"never","know","can"
"never learn brave",2,"never","learn","brave"
"never let go",3,"never","let","go"
"new day new",2,"new","day","new"
"new england shore",2,"new","england","shore"
"new followers i",2,"new","followers","i"
"new music video",3,"new","music","video"
"new single im",2,"new","single","im"
"new study shows",2,"new","study","shows"
"new things i",2,"new","things","i"
"new year everyone",4,"new","year","everyone"
"new year i",2,"new","year","i"
"new year new",2,"new","year","new"
"new years eve",8,"new","years","eve"
"new years resolution",2,"new","years","resolution"
"new york city",8,"new","york","city"
"new york ny",9,"new","york","ny"
"new york times",8,"new","york","times"
"newly published book",2,"newly","published","book"
"news i got",2,"news","i","got"
"next best thing",2,"next","best","thing"
"next couple days",3,"next","couple","days"
"next month i",2,"next","month","i"
"next time i",5,"next","time","i"
"next time ill",3,"next","time","ill"
"next time town",2,"next","time","town"
"next week good",2,"next","week","good"
"next week i",2,"next","week","i"
"next week will",4,"next","week","will"
"nice old lady",2,"nice","old","lady"
"nicest way possible",2,"nicest","way","possible"
"night i dreamt",2,"night","i","dreamt"
"night i finished",2,"night","i","finished"
"night i got",5,"night","i","got"
"nine points three",2,"nine","points","three"
"no big deal",2,"no","big","deal"
"no i didn’t",2,"no","i","didn’t"
"no i don’t",2,"no","i","don’t"
"no machine can",2,"no","machine","can"
"no one can",2,"no","one","can"
"no one else",3,"no","one","else"
"no one ever",2,"no","one","ever"
"no one wants",2,"no","one","wants"
"nobel peace prize",2,"nobel","peace","prize"
"nobody wants see",2,"nobody","wants","see"
"normal year old",2,"normal","year","old"
"not everyone can",2,"not","everyone","can"
"not feeling good",2,"not","feeling","good"
"not good enough",2,"not","good","enough"
"not like i",2,"not","like","i"
"not mention i",2,"not","mention","i"
"not sure i",5,"not","sure","i"
"nothing can can",2,"nothing","can","can"
"nothing else say",2,"nothing","else","say"
